Measurement points of GGD Amsterdam - Location Code,Levels of (NO) in Âµg/m3 by year,,,,,
,2012,2013,2014,2015,2016,2017
NL49002,53.0,45.0,53.0,50.0,51.0,50.0
NL49003,5.7,3.9,4.8,4.5,6.6,5.0
NL49007,47.0,44.0,40.0,37.0,43.0,34.0
NL49012,24.0,19.0,20.0,21.0,23.0,17.0
NL49014,6.9,4.9,4.3,5.0,6.0,4.9
NL49017,21.0,21.0,18.0,19.0,22.0,21.0
NL49019,6.6,,6.5,6.4,8.4,6.3
NL49020,37.0,,34.0,33.0,37.0,31.0
NL49021,5.7,5.0,4.9,4.7,6.9,4.9
NL49022,6.0,4.9,4.9,4.6,6.4,5.3
NL49546,13.0,10.0,13.0,12.0,13.0,13.0
NL49551,10.0,9.5,7.9,7.6,10.0,8.4
NL49553,8.1,5.8,6.9,7.1,7.3,6.2
NL49561,12.0,10.0,11.0,10.0,13.0,11.0
NL49564,7.1,6.4,6.2,6.1,8.1,7.7
NL49565,7.4,6.1,5.7,6.0,7.9,6.0
NL49701,8.6,5.4,5.4,5.1,7.6,5.6
NL49703,5.4,4.8,5.0,4.5,6.2,4.6
NL49704,12.0,9.3,11.0,10.0,12.0,10.0